ParticipantID,BatteryChargeStartDate,BatteryChargeStopDate,Starting SoC (of 12),Ending SoC (of 12)
GC10,2014-02-16 16:05 ,2014-02-16 17:05 ,1,11
GC10,2014-02-16 18:20 ,2014-02-16 19:00 ,2,11
GC10,2014-02-17 08:10 ,2014-02-17 15:57 ,4,12
GC10,2014-02-18 07:41 ,2014-02-18 09:52 ,5,8
GC10,2014-02-18 15:36 ,2014-02-18 15:39 ,4,4
GC10,2014-02-18 16:36 ,2014-02-18 17:36 ,2,10
GC10,2014-02-18 21:26 ,2014-02-19 01:55 ,8,12
GC10,2014-02-19 08:57 ,2014-02-19 14:25 ,8,12
GC10,2014-02-19 21:08 ,2014-02-20 05:17 ,4,12
GC10,2014-02-20 18:11 ,2014-02-20 23:20 ,8,12
GC10,2014-02-22 23:12 ,2014-02-23 10:34 ,1,12
GC10,2014-02-24 10:12 ,2014-02-24 11:12 ,3,11
GC10,2014-02-24 22:10 ,2014-02-25 06:58 ,3,12
GC10,2014-02-25 07:53 ,2014-02-25 11:49 ,9,12
GC10,2014-02-25 22:53 ,2014-02-26 04:49 ,7,12
GC10,2014-02-26 15:08 ,2014-02-26 17:34 ,6,8
GC10,2014-02-26 18:29 ,2014-02-26 23:04 ,8,12
GC10,2014-02-27 09:06 ,2014-02-27 15:51 ,6,12
GC10,2014-02-28 23:00 ,2014-03-01 08:45 ,2,12
GC10,2014-03-01 17:10 ,2014-03-01 22:36 ,7,12
GC10,2014-03-02 23:52 ,2014-03-03 07:18 ,3,11
GC10,2014-03-04 08:44 ,2014-03-04 10:09 ,6,8
GC10,2014-03-04 22:31 ,2014-03-05 03:54 ,8,12
GC10,2014-03-05 16:23 ,2014-03-05 17:18 ,12,12
GC10,2014-03-05 21:37 ,2014-03-06 02:33 ,8,12
GC10,2014-03-06 09:53 ,2014-03-06 10:08 ,9,9
GC10,2014-03-06 10:38 ,2014-03-06 14:55 ,9,12
GC10,2014-03-06 17:57 ,2014-03-06 18:03 ,2,4
GC10,2014-03-06 18:04 ,2014-03-06 18:57 ,4,11
GC10,2014-03-06 20:08 ,2014-03-06 20:37 ,3,10
GC10,2014-03-08 13:47 ,2014-03-08 14:47 ,2,10
GC10,2014-03-09 18:04 ,2014-03-09 19:03 ,2,10
GC10,2014-03-09 21:38 ,2014-03-10 06:12 ,2,12
GC10,2014-03-10 06:41 ,2014-03-10 09:22 ,9,11
GC10,2014-03-10 09:38 ,2014-03-10 11:51 ,11,12
GC10,2014-03-10 12:19 ,2014-03-10 12:44 ,12,12
GC10,2014-03-10 16:10 ,2014-03-10 19:54 ,6,11
GC10,2014-03-10 20:19 ,2014-03-10 23:09 ,11,12
GC10,2014-03-11 13:32 ,2014-03-11 16:21 ,5,8
GC10,2014-03-11 23:30 ,2014-03-12 07:02 ,1,10
GC10,2014-03-12 15:37 ,2014-03-12 15:44 ,10,10
GC10,2014-03-12 21:55 ,2014-03-13 07:39 ,2,12
GC10,2014-03-13 08:39 ,2014-03-13 12:17 ,10,12
GC10,2014-03-14 08:29 ,2014-03-14 13:43 ,5,11
GC10,2014-03-14 14:17 ,2014-03-14 14:35 ,11,11
GC10,2014-03-14 15:56 ,2014-03-14 19:11 ,5,8
GC10,2014-03-15 20:27 ,2014-03-15 21:27 ,5,11
GC10,2014-03-16 19:43 ,2014-03-17 06:41 ,1,12
GC10,2014-03-17 07:10 ,2014-03-17 11:08 ,9,12
GC10,2014-03-17 16:56 ,2014-03-17 19:07 ,11,12
GC10,2014-03-18 07:41 ,2014-03-18 15:07 ,5,12
GC10,2014-03-18 21:47 ,2014-03-19 03:03 ,8,12
GC10,2014-03-19 11:18 ,2014-03-19 13:52 ,11,12
GC10,2014-03-20 09:42 ,2014-03-20 14:24 ,5,11
GC10,2014-03-20 21:22 ,2014-03-21 05:06 ,5,12
GC10,2014-03-22 20:16 ,2014-03-23 01:35 ,7,12
GC10,2014-03-27 19:05 ,2014-03-27 19:27 ,4,9
GC10,2014-03-27 20:10 ,2014-03-27 21:09 ,2,11
GC10,2014-03-28 09:13 ,2014-03-28 10:13 ,2,10
GC10,2014-03-30 16:29 ,2014-03-30 17:02 ,4,9
GC10,2014-03-30 18:04 ,2014-03-30 19:02 ,1,11
GC10,2014-03-30 20:45 ,2014-03-30 21:36 ,0,11
GC10,2014-03-31 08:41 ,2014-03-31 14:10 ,7,12
GC10,2014-03-31 20:46 ,2014-04-01 02:26 ,7,12
GC10,2014-04-01 18:40 ,2014-04-02 04:51 ,2,12
GC10,2014-04-02 12:15 ,2014-04-02 15:52 ,8,12
GC10,2014-04-03 08:04 ,2014-04-03 13:06 ,7,12
GC10,2014-04-03 13:17 ,2014-04-03 14:35 ,12,12
GC10,2014-04-04 07:29 ,2014-04-04 14:42 ,5,12
GC10,2014-04-04 21:17 ,2014-04-05 01:21 ,9,12
GC10,2014-04-05 19:44 ,2014-04-06 04:17 ,4,12
GC10,2014-04-07 08:48 ,2014-04-07 10:19 ,7,8
GC10,2014-04-07 10:20 ,2014-04-07 14:08 ,8,12
GC10,2014-04-07 18:52 ,2014-04-07 20:28 ,11,12
