ParticipantID,BatteryChargeStartDate,BatteryChargeStopDate,Starting SoC (of 12),Ending SoC (of 12)
MC01,2014-01-23 15:27 ,2014-01-23 19:34 ,2,10
MC01,2014-01-24 18:34 ,2014-01-24 19:55 ,6,10
MC01,2014-01-27 07:30 ,2014-01-27 07:36 ,10,10
MC01,2014-01-27 08:27 ,2014-01-27 09:25 ,8,10
MC01,2014-01-28 07:05 ,2014-01-28 07:59 ,6,8
MC01,2014-01-28 20:42 ,2014-01-28 23:21 ,3,10
MC01,2014-02-04 08:30 ,2014-02-04 11:54 ,2,10
MC01,2014-02-05 22:40 ,2014-02-06 02:07 ,2,10
MC01,2014-02-07 20:09 ,2014-02-07 23:19 ,2,10
MC01,2014-02-17 13:21 ,2014-02-17 15:34 ,4,10
MC01,2014-02-18 17:32 ,2014-02-18 20:08 ,3,9
MC01,2014-02-20 18:31 ,2014-02-20 22:31 ,1,10
MC01,2014-02-21 18:12 ,2014-02-21 18:26 ,4,4
MC01,2014-02-23 22:38 ,2014-02-24 01:18 ,3,10
MC01,2014-02-25 22:10 ,2014-02-26 00:37 ,4,10
MC01,2014-02-27 11:09 ,2014-02-27 13:34 ,4,10
MC01,2014-02-28 20:14 ,2014-02-28 23:51 ,2,10
MC01,2014-03-01 23:18 ,2014-03-02 00:36 ,7,10
MC01,2014-03-02 16:12 ,2014-03-02 18:47 ,4,10
MC01,2014-03-04 08:27 ,2014-03-04 10:39 ,5,9
MC01,2014-03-04 22:16 ,2014-03-05 01:25 ,2,10
MC01,2014-03-05 21:18 ,2014-03-05 22:58 ,6,10
MC01,2014-03-06 10:40 ,2014-03-06 11:03 ,9,10
MC01,2014-03-10 19:40 ,2014-03-10 21:22 ,6,10
MC01,2014-03-11 16:40 ,2014-03-11 20:00 ,2,10
MC01,2014-03-12 22:51 ,2014-03-13 00:03 ,7,10
MC01,2014-03-13 18:23 ,2014-03-13 18:33 ,5,5
MC01,2014-03-13 18:54 ,2014-03-13 19:08 ,5,5
MC01,2014-03-13 22:10 ,2014-03-14 01:05 ,3,10
