ParticipantID,BatteryChargeStartDate,BatteryChargeStopDate,Starting SoC (of 12),Ending SoC (of 12)
SS05,2013-12-25 22:02 ,2013-12-26 02:12 ,7,12
SS05,2013-12-26 20:21 ,2013-12-27 00:38 ,4,12
SS05,2013-12-28 16:15 ,2013-12-28 22:24 ,3,12
SS05,2013-12-29 18:47 ,2013-12-30 01:26 ,2,12
SS05,2013-12-30 22:07 ,2013-12-31 00:47 ,10,12
SS05,2014-01-02 19:01 ,2014-01-02 23:11 ,7,12
SS05,2014-01-04 19:56 ,2014-01-05 01:28 ,3,12
SS05,2014-01-06 16:31 ,2014-01-06 21:09 ,6,12
SS05,2014-01-09 15:37 ,2014-01-09 18:30 ,2,9
SS05,2014-01-09 20:21 ,2014-01-09 22:39 ,6,11
SS05,2014-01-10 23:09 ,2014-01-11 05:55 ,2,12
SS05,2014-01-11 11:44 ,2014-01-11 13:16 ,4,8
SS05,2014-01-11 14:36 ,2014-01-11 17:22 ,7,12
SS05,2014-01-12 18:47 ,2014-01-12 21:00 ,6,11
SS05,2014-01-13 13:43 ,2014-01-13 14:22 ,5,6
SS05,2014-01-13 23:31 ,2014-01-14 05:59 ,2,12
SS05,2014-01-15 22:07 ,2014-01-16 03:26 ,4,12
SS05,2014-01-17 16:06 ,2014-01-17 21:33 ,4,12
SS05,2014-01-19 12:55 ,2014-01-19 15:11 ,5,8
SS05,2014-01-19 18:10 ,2014-01-19 23:05 ,5,12
SS05,2014-01-20 23:24 ,2014-01-21 05:03 ,4,12
SS05,2014-01-22 12:36 ,2014-01-22 14:24 ,5,9
SS05,2014-01-23 08:26 ,2014-01-23 13:45 ,4,12
SS05,2014-01-25 22:07 ,2014-01-25 23:41 ,11,12
SS05,2014-01-26 18:47 ,2014-01-26 23:12 ,7,12
SS05,2014-01-27 16:12 ,2014-01-27 19:27 ,6,12
SS05,2014-01-28 18:00 ,2014-01-28 21:43 ,7,12
SS05,2014-01-30 20:18 ,2014-01-31 02:37 ,3,12
SS05,2014-02-02 11:18 ,2014-02-02 14:02 ,3,10
SS05,2014-02-03 12:17 ,2014-02-03 14:06 ,5,9
SS05,2014-02-03 14:52 ,2014-02-03 18:42 ,8,12
SS05,2014-02-06 07:42 ,2014-02-06 11:59 ,4,12
SS05,2014-02-07 17:49 ,2014-02-07 19:45 ,6,10
SS05,2014-02-07 20:11 ,2014-02-07 22:04 ,10,12
SS05,2014-02-09 14:32 ,2014-02-09 19:57 ,4,12
SS05,2014-02-09 22:00 ,2014-02-10 02:01 ,7,12
SS05,2014-02-11 23:29 ,2014-02-12 05:26 ,3,12
SS05,2014-02-13 23:27 ,2014-02-14 04:42 ,4,12
SS05,2014-02-14 20:06 ,2014-02-15 03:06 ,2,12
SS05,2014-02-15 22:42 ,2014-02-16 02:29 ,7,12
SS05,2014-02-17 19:29 ,2014-02-18 00:41 ,4,12
SS05,2014-02-18 20:53 ,2014-02-19 02:03 ,4,12
SS05,2014-02-19 12:53 ,2014-02-19 13:44 ,11,12
SS05,2014-02-19 22:09 ,2014-02-20 01:46 ,8,12
SS05,2014-02-20 20:17 ,2014-02-21 00:56 ,6,12
SS05,2014-02-21 18:58 ,2014-02-21 22:04 ,6,12
SS05,2014-02-22 15:38 ,2014-02-22 20:43 ,4,12
SS05,2014-02-24 23:34 ,2014-02-25 04:17 ,6,12
SS05,2014-02-26 11:59 ,2014-02-26 14:22 ,5,11
SS05,2014-02-27 10:36 ,2014-02-27 11:20 ,7,8
SS05,2014-02-27 14:18 ,2014-02-27 18:31 ,4,12
SS05,2014-03-03 22:10 ,2014-03-04 03:18 ,5,12
SS05,2014-03-05 20:25 ,2014-03-06 02:22 ,3,12
SS05,2014-03-07 15:35 ,2014-03-07 17:04 ,4,7
SS05,2014-03-07 23:04 ,2014-03-08 03:20 ,7,12
SS05,2014-03-09 15:13 ,2014-03-09 18:25 ,5,12
SS05,2014-03-11 08:25 ,2014-03-11 12:38 ,5,12
SS05,2014-03-11 15:04 ,2014-03-11 15:34 ,11,11
SS05,2014-03-12 07:30 ,2014-03-12 10:44 ,4,11
SS05,2014-03-16 18:59 ,2014-03-17 00:14 ,4,12
SS05,2014-03-18 11:47 ,2014-03-18 15:55 ,7,12
SS05,2014-03-19 13:31 ,2014-03-19 14:26 ,4,6
SS05,2014-03-20 20:37 ,2014-03-21 00:13 ,9,12
SS05,2014-03-21 16:35 ,2014-03-21 17:51 ,8,9
SS05,2014-03-21 23:08 ,2014-03-22 05:55 ,2,12
SS05,2014-03-22 22:10 ,2014-03-23 02:20 ,7,12
SS05,2014-03-24 22:07 ,2014-03-25 03:14 ,5,12
SS05,2014-03-26 19:33 ,2014-03-27 00:00 ,7,12
SS05,2014-03-27 20:19 ,2014-03-28 02:48 ,3,12
SS05,2014-03-29 11:45 ,2014-03-29 13:19 ,5,8
SS05,2014-03-29 15:45 ,2014-03-29 20:32 ,6,12
SS05,2014-03-31 06:27 ,2014-03-31 10:54 ,3,12
SS05,2014-04-01 12:48 ,2014-04-01 16:57 ,4,9
SS05,2014-04-02 06:33 ,2014-04-02 11:40 ,5,12
SS05,2014-04-03 06:29 ,2014-04-03 09:20 ,3,9
SS05,2014-04-03 09:33 ,2014-04-03 10:25 ,9,9
SS05,2014-04-03 19:17 ,2014-04-03 21:28 ,4,9
SS05,2014-04-04 06:28 ,2014-04-04 07:17 ,5,6
SS05,2014-04-04 07:26 ,2014-04-04 11:52 ,6,12
SS05,2014-04-07 22:29 ,2014-04-08 04:17 ,4,12
SS05,2014-04-09 22:29 ,2014-04-10 03:38 ,5,12
SS05,2014-04-13 07:51 ,2014-04-13 09:11 ,7,10
SS05,2014-04-14 06:29 ,2014-04-14 10:36 ,7,12
SS05,2014-04-16 14:46 ,2014-04-16 19:15 ,6,12
SS05,2014-04-18 11:22 ,2014-04-18 13:01 ,7,11
SS05,2014-04-19 18:46 ,2014-04-19 23:32 ,6,12
SS05,2014-04-20 17:54 ,2014-04-20 19:22 ,11,12
SS05,2014-04-22 06:24 ,2014-04-22 12:14 ,3,12
SS05,2014-04-23 06:34 ,2014-04-23 09:57 ,8,12
SS05,2014-04-23 14:06 ,2014-04-23 16:10 ,7,11
SS05,2014-04-23 19:58 ,2014-04-23 21:32 ,3,6
SS05,2014-04-24 06:31 ,2014-04-24 12:31 ,3,12
SS05,2014-04-25 14:20 ,2014-04-25 20:20 ,3,12
SS05,2014-04-26 19:22 ,2014-04-26 20:56 ,11,12
SS05,2014-05-01 09:01 ,2014-05-01 14:03 ,5,12
SS05,2014-05-02 15:20 ,2014-05-02 18:40 ,9,12
SS05,2014-05-03 21:13 ,2014-05-04 03:25 ,3,12
SS05,2014-05-04 13:35 ,2014-05-04 13:43 ,5,5
SS05,2014-05-04 13:56 ,2014-05-04 15:23 ,4,8
SS05,2014-05-04 16:20 ,2014-05-04 20:49 ,5,12
SS05,2014-05-06 14:33 ,2014-05-06 16:22 ,4,8
SS05,2014-05-06 19:35 ,2014-05-07 00:06 ,6,12
SS05,2014-05-16 18:33 ,2014-05-16 23:01 ,5,12
SS05,2014-05-18 13:59 ,2014-05-18 19:01 ,3,12
SS05,2014-05-20 22:26 ,2014-05-21 03:24 ,5,12
SS05,2014-05-22 22:28 ,2014-05-23 03:55 ,4,12
SS05,2014-05-23 12:16 ,2014-05-23 13:28 ,5,8
SS05,2014-05-23 22:34 ,2014-05-24 04:21 ,5,12
SS05,2014-05-30 14:29 ,2014-05-30 18:50 ,4,12
SS05,2014-05-30 19:48 ,2014-05-30 23:07 ,9,12
SS05,2014-06-01 13:44 ,2014-06-01 15:27 ,5,9
SS05,2014-06-01 15:40 ,2014-06-01 18:24 ,9,12
SS05,2014-06-02 16:03 ,2014-06-02 19:37 ,8,12
SS05,2014-06-03 18:24 ,2014-06-03 21:27 ,3,9
SS05,2014-06-04 16:39 ,2014-06-04 21:26 ,6,12
SS05,2014-06-06 06:33 ,2014-06-06 12:06 ,5,12
SS05,2014-06-09 11:10 ,2014-06-09 13:25 ,4,9
SS05,2014-06-11 22:56 ,2014-06-12 00:34 ,11,12
SS05,2014-06-14 14:42 ,2014-06-14 19:24 ,4,12
SS05,2014-06-16 14:30 ,2014-06-16 18:52 ,5,12
SS05,2014-06-20 15:02 ,2014-06-20 19:34 ,4,12
SS05,2014-06-23 06:25 ,2014-06-23 11:24 ,4,12
SS05,2014-06-24 16:45 ,2014-06-24 18:47 ,5,9
SS05,2014-06-25 19:58 ,2014-06-25 21:30 ,4,8
SS05,2014-06-29 16:41 ,2014-06-29 20:38 ,6,12
SS05,2014-07-03 09:03 ,2014-07-03 11:29 ,6,11
SS05,2014-07-03 13:29 ,2014-07-03 17:45 ,5,12
SS05,2014-07-05 12:27 ,2014-07-05 15:38 ,3,10
SS05,2014-07-06 13:50 ,2014-07-06 14:32 ,5,7
SS05,2014-07-12 18:07 ,2014-07-12 22:17 ,5,12
SS05,2014-07-17 10:25 ,2014-07-17 10:47 ,9,9
SS05,2014-07-17 16:04 ,2014-07-17 18:27 ,5,10
SS05,2014-07-17 19:39 ,2014-07-17 21:53 ,10,12
SS05,2014-07-22 22:00 ,2014-07-23 03:00 ,3,12
SS05,2014-07-26 19:04 ,2014-07-26 23:58 ,3,12
SS05,2014-07-27 18:29 ,2014-07-27 22:39 ,5,12
