ParticipantID,BatteryChargeStartDate,BatteryChargeStopDate,Starting SoC (of 12),Ending SoC (of 12)
WC07,2014-01-03 15:35 ,2014-01-03 19:30 ,8,12
WC07,2014-01-25 18:27 ,2014-01-25 22:03 ,5,12
WC07,2014-01-26 12:48 ,2014-01-26 20:34 ,2,12
WC07,2014-01-27 17:43 ,2014-01-27 21:05 ,4,12
WC07,2014-01-28 18:49 ,2014-01-28 22:37 ,5,12
WC07,2014-01-29 16:37 ,2014-01-29 19:51 ,7,12
WC07,2014-01-30 18:03 ,2014-01-30 21:42 ,4,12
WC07,2014-01-31 18:14 ,2014-01-31 22:19 ,4,12
WC07,2014-02-01 13:59 ,2014-02-01 17:29 ,3,12
WC07,2014-02-02 13:57 ,2014-02-02 16:42 ,11,12
WC07,2014-02-03 17:41 ,2014-02-03 21:21 ,4,12
WC07,2014-02-04 19:41 ,2014-02-04 22:59 ,4,12
WC07,2014-02-06 18:55 ,2014-02-06 22:09 ,5,12
WC07,2014-02-08 17:26 ,2014-02-08 21:24 ,3,12
WC07,2014-02-10 17:34 ,2014-02-10 20:39 ,4,12
WC07,2014-02-11 19:35 ,2014-02-11 23:28 ,3,12
WC07,2014-02-13 17:49 ,2014-02-13 20:57 ,5,12
WC07,2014-02-14 18:19 ,2014-02-14 21:45 ,3,12
WC07,2014-02-15 18:29 ,2014-02-15 22:13 ,6,12
WC07,2014-02-17 16:14 ,2014-02-17 18:23 ,10,12
WC07,2014-02-19 15:04 ,2014-02-19 18:13 ,7,12
WC07,2014-02-21 09:33 ,2014-02-21 09:36 ,10,10
WC07,2014-02-22 17:20 ,2014-02-22 18:38 ,2,10
WC07,2014-03-25 10:20 ,2014-03-25 10:20 ,10,10
WC07,2014-03-25 10:23 ,2014-03-25 10:24 ,10,10
WC07,2014-03-25 10:31 ,2014-03-25 11:36 ,10,11
WC07,2014-03-25 11:36 ,2014-03-25 13:50 ,11,12
WC07,2014-03-31 17:03 ,2014-03-31 20:21 ,9,12
WC07,2014-04-01 18:29 ,2014-04-01 21:32 ,9,12
WC07,2014-04-02 18:38 ,2014-04-02 21:47 ,9,12
WC07,2014-04-03 18:09 ,2014-04-03 20:50 ,8,12
WC07,2014-04-04 21:54 ,2014-04-05 02:00 ,6,12
WC07,2014-04-07 17:15 ,2014-04-07 21:03 ,8,12
WC07,2014-04-08 17:40 ,2014-04-08 21:13 ,9,12
WC07,2014-04-09 19:51 ,2014-04-10 00:18 ,7,12
WC07,2014-04-10 19:24 ,2014-04-10 23:01 ,9,12
WC07,2014-04-12 19:48 ,2014-04-12 23:41 ,7,12
WC07,2014-04-15 16:54 ,2014-04-15 20:47 ,7,12
WC07,2014-04-19 10:29 ,2014-04-19 13:09 ,5,12
WC07,2014-04-21 13:38 ,2014-04-21 14:34 ,8,10
WC07,2014-04-21 17:40 ,2014-04-21 21:57 ,7,12
WC07,2014-04-23 15:53 ,2014-04-23 21:05 ,5,12
WC07,2014-04-25 19:13 ,2014-04-26 00:13 ,6,12
WC07,2014-04-27 19:52 ,2014-04-27 23:21 ,9,12
WC07,2014-04-29 19:22 ,2014-04-30 00:16 ,6,12
WC07,2014-05-01 15:29 ,2014-05-01 17:36 ,5,10
WC07,2014-05-01 22:03 ,2014-05-02 02:57 ,7,12
WC07,2014-05-03 16:14 ,2014-05-03 20:49 ,6,12
WC07,2014-05-07 19:12 ,2014-05-08 00:10 ,6,12
WC07,2014-05-09 15:00 ,2014-05-09 19:30 ,6,12
WC07,2014-05-11 18:19 ,2014-05-11 22:49 ,7,12
WC07,2014-05-13 20:09 ,2014-05-14 01:11 ,6,12
WC07,2014-05-15 16:03 ,2014-05-15 20:04 ,6,12
WC07,2014-05-17 20:30 ,2014-05-18 00:35 ,6,12
WC07,2014-05-20 16:53 ,2014-05-20 20:57 ,5,12
WC07,2014-05-22 15:31 ,2014-05-22 20:35 ,6,12
WC07,2014-05-25 17:55 ,2014-05-25 22:49 ,7,12
WC07,2014-05-28 19:24 ,2014-05-29 01:04 ,7,12
