ParticipantID,ICB_ID,MC_ID,DistanceFromSubstation,ExpectedPhase,ActualPhase,EVDeliveryDate,LeaseEndDate,DecommissionDate,ParticipantExitDate,Location
BL01,14522,14648,292,1,1,2014-06-24,2015-12-24,2015-10-22,NULL,SO43
BL02,14545,14648,205,2,2,2014-06-23,2015-12-23,2015-10-22,NULL,SO43
BL03,14626,14648,282,1,1,2014-05-09,2015-11-09,2015-10-22,NULL,SO43
BL04,14552,14648,351,2,2,2014-06-23,2015-12-26,2015-10-22,NULL,SO43
BL06,14507,14648,245,2,2,2014-06-13,2015-12-13,2015-10-22,NULL,SO43
BL08,13156,14648,96,1,1,2014-05-09,2015-11-09,2015-10-22,NULL,SO43
CC01,14515,14647,122,3,3,2014-05-16,2015-11-16,2015-10-20,NULL,W4
CC02,14635,14647,332,2,2,2014-05-08,2015-11-09,2015-10-20,NULL,W4
CC04,14536,14647,202,1,1,2014-05-06,2015-11-06,2015-10-19,NULL,W4
CC05,14524,14647,338,3,3,2014-04-25,2015-10-26,2015-10-19,NULL,W4
CC06,14516,14647,387,3,3,2014-05-14,2015-11-14,2015-10-19,NULL,W4
CC07,14492,14647,342,3,3,2014-05-27,2015-04-27,2015-10-19,NULL,W4
CC09,14636,14647,215,2,2,2014-05-08,2015-11-09,2015-10-19,NULL,W4
CC10,13204,14647,374,3,3,2014-05-29,2015-11-29,2015-10-19,NULL,W4
CRG01,15232,14778,291,2,2,2014-03-25,2015-09-25,2015-09-15,NULL,RG24
CRG02,15230,14778,270,1,1,2014-03-25,2015-09-25,2015-09-14,NULL,RG24
CRG03,15236,14778,232,1,1,2014-04-11,2015-10-12,2015-09-15,NULL,RG24
CRG04,15240,14778,246,1,1,2014-03-25,2015-09-25,2015-09-14,NULL,RG24
CRG06,15226,14778,169,2,2,2014-04-15,2015-10-15,2015-09-15,NULL,RG24
CRG07,15242,14778,233,1,1,2014-04-01,2015-10-01,2015-09-14,NULL,RG24
CRG08,15233,14778,137,3,2,2014-03-25,2015-09-25,2015-09-14,NULL,RG24
CRG09,15231,14778,99,2,2,2014-03-12,2015-09-12,2015-09-14,NULL,RG24
CRG10,15241,14778,244,3,3,2014-04-08,2015-10-08,2015-09-14,NULL,RG24
CRG11,15223,14778,270,2,2,2014-03-26,2015-09-26,2015-09-14,NULL,RG24
GC01,14521,14614,113,1,1,2014-02-14,2015-08-14,2015-10-07,NULL,NE3
GC03,14498,14614,175,3,3,2013-12-20,2015-06-24,2015-10-07,NULL,NE3
GC04,14638,14614,182,3,3,2014-02-04,2015-08-04,2015-09-01,NULL,NE3
GC05,14642,14614,144,2,2,2014-02-07,2015-08-07,2015-09-02,NULL,NE3
GC06,14504,14614,190,1,1,2014-02-06,2015-08-06,2015-09-02,NULL,NE3
GC07,14631,14614,236,3,3,2013-12-20,2015-06-20,2015-09-01,NULL,NE3
GC08,14520,14614,228,1,1,2013-12-30,2015-06-30,2015-09-01,NULL,NE3
GC09,14497,14614,349,3,3,2014-03-24,2015-09-24,2015-09-02,NULL,NE3
GC10,13130,14614,380,1,1,2014-02-14,2015-08-14,2015-09-02,NULL,NE3
